activity_type,pressure_cat,biotic_group,service_division,service_section,n_services,RCSES
Environmental Management,"Chemical changes, chemicals and other pollutants",Phytoplankton,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,5.417303382076939e-6
Environmental Management,Energy,Phytoplankton,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,2.9543363466000955e-7
Environmental Management,Energy,Phytoplankton,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,7.27315287524845e-8
Environmental Management,Physical change,Phytoplankton,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,1.520469640989178e-4
Environmental Management,Physical change,Phytoplankton,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,3.7431784481191075e-5
Environmental Management,Biological disturbance,Phytoplankton,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,0
Environmental Management,Biological disturbance,Phytoplankton,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,0
Environmental Management,"Chemical changes, chemicals and other pollutants",Phytoplankton,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,3.5530326619727853e-7
Environmental Management,"Chemical changes, chemicals and other pollutants",Phytoplankton,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,2.2143765882037704e-6
Environmental Management,Energy,Phytoplankton,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,4.770223836231146e-9
Environmental Management,Energy,Phytoplankton,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,2.9729735097838328e-8
Environmental Management,Physical change,Phytoplankton,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,2.4550287011359603e-6
Environmental Management,Physical change,Phytoplankton,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,1.5300613859669106e-5
Environmental Management,Biological disturbance,Microphytobenthos,Biomass,Provisioning,18,1.0853936891223536e-7
Environmental Management,Biological disturbance,Microphytobenthos,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,6.27169174060548e-6
Environmental Management,"Chemical changes, chemicals and other pollutants",Microphytobenthos,Biomass,Provisioning,18,1.0563072026123283e-7
Environmental Management,"Chemical changes, chemicals and other pollutants",Microphytobenthos,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,6.103622330366267e-6
Environmental Management,Energy,Microphytobenthos,Biomass,Provisioning,18,1.419077712120553e-9
Environmental Management,Energy,Microphytobenthos,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,8.199806259773194e-8
Environmental Management,Physical change,Microphytobenthos,Biomass,Provisioning,18,6.471297057811442e-6
Environmental Management,Physical change,Microphytobenthos,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,3.739286557055467e-4
Environmental Management,Biological disturbance,Microphytobenthos,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,4.361724078993929e-6
Environmental Management,Biological disturbance,Microphytobenthos,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,2.5941498471908496e-7
Environmental Management,"Chemical changes, chemicals and other pollutants",Microphytobenthos,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,4.244838169433598e-6
Environmental Management,"Chemical changes, chemicals and other pollutants",Microphytobenthos,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,2.5246315652149207e-7
Environmental Management,Energy,Microphytobenthos,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,5.702654703957921e-8
Environmental Management,Energy,Microphytobenthos,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,3.3916727791426187e-9
Environmental Management,Physical change,Microphytobenthos,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,2.600532183138287e-4
Environmental Management,Physical change,Microphytobenthos,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,1.5466751319719283e-5
Environmental Management,Biological disturbance,Microphytobenthos,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,4.242349690153659e-7
Environmental Management,Biological disturbance,Microphytobenthos,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,6.861311649465844e-6
Environmental Management,"Chemical changes, chemicals and other pollutants",Microphytobenthos,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,4.128662787170796e-7
Environmental Management,"Chemical changes, chemicals and other pollutants",Microphytobenthos,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,6.677441547093458e-6
Environmental Management,Energy,Microphytobenthos,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,5.54658088825496e-9
Environmental Management,Energy,Microphytobenthos,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,8.97069380009311e-8
Environmental Management,Physical change,Microphytobenthos,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,2.529359194109327e-5
Environmental Management,Physical change,Microphytobenthos,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,4.090827718541342e-4
Environmental Management,"Chemical changes, chemicals and other pollutants",Marine mammals,Biomass,Provisioning,18,5.688365430423991e-11
Environmental Management,"Chemical changes, chemicals and other pollutants",Marine mammals,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,8.843320588564825e-8
Environmental Management,Energy,Marine mammals,Biomass,Provisioning,18,8.547680668081335e-11
Environmental Management,Energy,Marine mammals,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,1.328850640154583e-7
Environmental Management,Physical change,Marine mammals,Biomass,Provisioning,18,8.183848446643098e-11
Environmental Management,Physical change,Marine mammals,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,1.2722880825274055e-7
Environmental Management,"Chemical changes, chemicals and other pollutants",Marine mammals,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,7.442474742416073e-10
Environmental Management,"Chemical changes, chemicals and other pollutants",Marine mammals,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,1.2404124570693456e-10
Environmental Management,Energy,Marine mammals,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,1.118351102026365e-9
Environmental Management,Energy,Marine mammals,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,1.863918503377275e-10
Environmental Management,Physical change,Marine mammals,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,1.0707484620122657e-9
Environmental Management,Physical change,Marine mammals,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,1.7845807700204427e-10
Environmental Management,"Chemical changes, chemicals and other pollutants",Marine mammals,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,4.11851504524862e-7
Environmental Management,"Chemical changes, chemicals and other pollutants",Marine mammals,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,1.313013385931488e-4
Environmental Management,Energy,Marine mammals,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,6.18872888249899e-7
Environmental Management,Energy,Marine mammals,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,1.9730130339080655e-4
Environmental Management,Physical change,Marine mammals,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,5.925305497298523e-7
Environmental Management,Physical change,Marine mammals,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,1.8890316893856927e-4
Environmental Management,Biological disturbance,Macrophytes,Biomass,Provisioning,18,6.288868401169336e-6
Environmental Management,Biological disturbance,Macrophytes,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,6.271691740605481e-7
Environmental Management,"Chemical changes, chemicals and other pollutants",Macrophytes,Biomass,Provisioning,18,6.120338689096065e-6
Environmental Management,"Chemical changes, chemicals and other pollutants",Macrophytes,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,6.103622330366267e-7
Environmental Management,Energy,Macrophytes,Biomass,Provisioning,18,8.222263563900821e-8
Environmental Management,Energy,Macrophytes,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,8.199806259773194e-9
Environmental Management,Physical change,Macrophytes,Biomass,Provisioning,18,3.749527566753965e-4
Environmental Management,Physical change,Macrophytes,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,3.739286557055467e-5
Environmental Management,Biological disturbance,Macrophytes,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,4.36172407899393e-7
Environmental Management,Biological disturbance,Macrophytes,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,2.59414984719085e-8
Environmental Management,"Chemical changes, chemicals and other pollutants",Macrophytes,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,4.2448381694335984e-7
Environmental Management,"Chemical changes, chemicals and other pollutants",Macrophytes,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,2.524631565214921e-8
Environmental Management,Energy,Macrophytes,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,5.702654703957922e-9
Environmental Management,Energy,Macrophytes,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,3.391672779142619e-10
Environmental Management,Physical change,Macrophytes,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,2.6005321831382876e-5
Environmental Management,Physical change,Macrophytes,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,1.5466751319719286e-6
Environmental Management,Biological disturbance,Macrophytes,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,4.8315730443924793e-8
Environmental Management,Biological disturbance,Macrophytes,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,2.032403677985716e-5
Environmental Management,"Chemical changes, chemicals and other pollutants",Macrophytes,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,4.702096076186077e-8
Environmental Management,"Chemical changes, chemicals and other pollutants",Macrophytes,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,1.9779391249345013e-5
Environmental Management,Energy,Macrophytes,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,6.3169499606395e-10
Environmental Management,Energy,Macrophytes,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,2.657228239270005e-7
Environmental Management,Physical change,Macrophytes,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,2.880663923157704e-6
Environmental Management,Physical change,Macrophytes,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,0.0012117527560224733
Environmental Management,Biological disturbance,Macroalgae,Biomass,Provisioning,18,1.3369751162694345e-4
Environmental Management,Biological disturbance,Macroalgae,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,6.27169174060548e-6
Environmental Management,"Chemical changes, chemicals and other pollutants",Macroalgae,Biomass,Provisioning,18,1.58034416045474e-4
Environmental Management,"Chemical changes, chemicals and other pollutants",Macroalgae,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,7.4133252727201025e-6
Environmental Management,Energy,Macroalgae,Biomass,Provisioning,18,2.1228475121853675e-6
Environmental Management,Energy,Macroalgae,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,9.958184746091253e-8
Environmental Management,Physical change,Macroalgae,Biomass,Provisioning,18,0.008164183464966633
Environmental Management,Physical change,Macroalgae,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,3.829782722425801e-4
Environmental Management,Biological disturbance,Macroalgae,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,4.361724078993929e-6
Environmental Management,Biological disturbance,Macroalgae,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,2.5941498471908496e-7
Environmental Management,"Chemical changes, chemicals and other pollutants",Macroalgae,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,5.155686963708429e-6
Environmental Management,"Chemical changes, chemicals and other pollutants",Macroalgae,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,3.0663619034226144e-7
Environmental Management,Energy,Macroalgae,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,6.925540346455705e-8
Environmental Management,Energy,Macroalgae,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,4.118988066667463e-9
Environmental Management,Physical change,Macroalgae,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,2.6634688388091696e-4
Environmental Management,Physical change,Macroalgae,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,1.5841069164531195e-5
Environmental Management,Biological disturbance,Macroalgae,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,4.831573044392479e-7
Environmental Management,Biological disturbance,Macroalgae,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,2.032403677985716e-5
Environmental Management,"Chemical changes, chemicals and other pollutants",Macroalgae,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,5.711062347833127e-7
Environmental Management,"Chemical changes, chemicals and other pollutants",Macroalgae,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,2.402361304340224e-5
Environmental Management,Energy,Macroalgae,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,7.671565979365223e-9
Environmental Management,Energy,Macroalgae,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,3.2270481619785726e-7
Environmental Management,Physical change,Macroalgae,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,2.9503801737816512e-5
Environmental Management,Physical change,Macroalgae,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,0.0012410789325868392
Environmental Management,Biological disturbance,Infauna,Biomass,Provisioning,18,3.890221496713411e-5
Environmental Management,Biological disturbance,Infauna,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,3.9743009227106155e-5
Environmental Management,"Chemical changes, chemicals and other pollutants",Infauna,Biomass,Provisioning,18,4.34289038998958e-5
Environmental Management,"Chemical changes, chemicals and other pollutants",Infauna,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,4.4367533567814684e-5
Environmental Management,Energy,Infauna,Biomass,Provisioning,18,5.117455119706463e-7
Environmental Management,Energy,Infauna,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,5.228058767697943e-7
Environmental Management,Physical change,Infauna,Biomass,Provisioning,18,0.002496972256088916
Environmental Management,Physical change,Infauna,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,0.0025509393616124114
Environmental Management,Biological disturbance,Infauna,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,7.715188076640822e-5
Environmental Management,Biological disturbance,Infauna,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,1.477899237128983e-5
Environmental Management,"Chemical changes, chemicals and other pollutants",Infauna,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,8.612932755451788e-5
Environmental Management,"Chemical changes, chemicals and other pollutants",Infauna,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,1.6498686256612463e-5
Environmental Management,Energy,Infauna,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,1.014906959813462e-6
Environmental Management,Energy,Infauna,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,1.9441265809274708e-7
Environmental Management,Physical change,Infauna,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,0.004952060080423577
Environmental Management,Physical change,Infauna,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,9.486023856286105e-4
Environmental Management,Biological disturbance,Infauna,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,8.775151844192548e-5
Environmental Management,Biological disturbance,Infauna,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,1.5178053042757775e-5
Environmental Management,"Chemical changes, chemicals and other pollutants",Infauna,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,9.796234648088639e-5
Environmental Management,"Chemical changes, chemicals and other pollutants",Infauna,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,1.6944181906822893e-5
Environmental Management,Energy,Infauna,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,1.1543416170314014e-6
Environmental Management,Energy,Infauna,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,1.996621665796094e-7
Environmental Management,Physical change,Infauna,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,0.005632406976422214
Environmental Management,Physical change,Infauna,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,9.742164393783392e-4
Environmental Management,Biological disturbance,Fish,Biomass,Provisioning,18,1.868749947244267e-6
Environmental Management,Biological disturbance,Fish,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,8.71724260891423e-8
Environmental Management,"Chemical changes, chemicals and other pollutants",Fish,Biomass,Provisioning,18,3.1002131849839785e-4
Environmental Management,"Chemical changes, chemicals and other pollutants",Fish,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,1.4461705009122607e-5
Environmental Management,Energy,Fish,Biomass,Provisioning,18,4.4341317814969934e-4
Environmental Management,Energy,Fish,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,2.06840955667751e-5
Environmental Management,Physical change,Fish,Biomass,Provisioning,18,3.486717991483778e-4
Environmental Management,Physical change,Fish,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,1.6264651504312422e-5
Environmental Management,Biological disturbance,Fish,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,1.0406193673916931e-6
Environmental Management,Biological disturbance,Fish,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,3.7906226379403605e-9
Environmental Management,"Chemical changes, chemicals and other pollutants",Fish,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,1.7263635983480886e-4
Environmental Management,"Chemical changes, chemicals and other pollutants",Fish,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,6.288555779638167e-7
Environmental Management,Energy,Fish,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,2.469160422557951e-4
Environmental Management,Energy,Fish,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,8.99431212578186e-7
Environmental Management,Physical change,Fish,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,1.9415900323751647e-4
Environmental Management,Physical change,Fish,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,7.072552521070258e-7
Environmental Management,Biological disturbance,Fish,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,4.059797954664234e-7
Environmental Management,Biological disturbance,Fish,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,6.252840020069137e-7
Environmental Management,"Chemical changes, chemicals and other pollutants",Fish,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,6.735111439591592e-5
Environmental Management,"Chemical changes, chemicals and other pollutants",Fish,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,1.0373317790536884e-4
Environmental Management,Energy,Fish,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,9.633005830330143e-5
Environmental Management,Energy,Fish,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,1.4836611339302293e-4
Environmental Management,Physical change,Fish,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,7.574780452136412e-5
Environmental Management,Physical change,Fish,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,1.1666563430808267e-4
Environmental Management,Biological disturbance,Epifauna,Biomass,Provisioning,18,5.123722032668648e-5
Environmental Management,Biological disturbance,Epifauna,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,2.9772496212760564e-5
Environmental Management,"Chemical changes, chemicals and other pollutants",Epifauna,Biomass,Provisioning,18,6.789896982776292e-5
Environmental Management,"Chemical changes, chemicals and other pollutants",Epifauna,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,3.945416650548708e-5
Environmental Management,Energy,Epifauna,Biomass,Provisioning,18,8.176608553420928e-7
Environmental Management,Energy,Epifauna,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,4.7511954324961216e-7
Environmental Management,Physical change,Epifauna,Biomass,Provisioning,18,0.0033626369832728763
Environmental Management,Physical change,Epifauna,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,0.0019539330239044354
Environmental Management,Biological disturbance,Epifauna,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,4.262856603799353e-5
Environmental Management,Biological disturbance,Epifauna,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,3.6608795414331394e-6
Environmental Management,"Chemical changes, chemicals and other pollutants",Epifauna,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,5.64908810579441e-5
Environmental Management,"Chemical changes, chemicals and other pollutants",Epifauna,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,4.851355087999918e-6
Environmental Management,Energy,Epifauna,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,6.802810446467248e-7
Environmental Management,Energy,Epifauna,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,5.842155132669295e-8
Environmental Management,Physical change,Epifauna,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,0.0027976613834491608
Environmental Management,Physical change,Epifauna,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,2.402591096636531e-4
Environmental Management,Biological disturbance,Epifauna,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,1.3865659664698594e-4
Environmental Management,Biological disturbance,Epifauna,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,2.032403677985716e-5
Environmental Management,"Chemical changes, chemicals and other pollutants",Epifauna,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,1.8374611292585003e-4
Environmental Management,"Chemical changes, chemicals and other pollutants",Epifauna,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,2.6933177703535827e-5
Environmental Management,Energy,Epifauna,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,2.212728768077767e-6
Environmental Management,Energy,Epifauna,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,3.2433783861547076e-7
Environmental Management,Physical change,Epifauna,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,0.009099865232483377
Environmental Management,Physical change,Epifauna,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,0.0013338420251839914
Environmental Management,Biological disturbance,Cephalopods,Biomass,Provisioning,18,6.184841339901786e-10
Environmental Management,Biological disturbance,Cephalopods,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,1.9534674097535343e-10
Environmental Management,"Chemical changes, chemicals and other pollutants",Cephalopods,Biomass,Provisioning,18,1.0260509543972277e-7
Environmental Management,"Chemical changes, chemicals and other pollutants",Cephalopods,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,3.240757506955422e-8
Environmental Management,Energy,Cephalopods,Biomass,Provisioning,18,1.467526545711269e-7
Environmental Management,Energy,Cephalopods,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,4.635147649625347e-8
Environmental Management,Physical change,Cephalopods,Biomass,Provisioning,18,1.1539691335434416e-7
Environmental Management,Physical change,Cephalopods,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,3.644784029778255e-8
Environmental Management,Biological disturbance,Cephalopods,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,2.336996220833372e-10
Environmental Management,Biological disturbance,Cephalopods,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,3.8949937013889527e-11
Environmental Management,"Chemical changes, chemicals and other pollutants",Cephalopods,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,3.877022984144769e-8
Environmental Management,"Chemical changes, chemicals and other pollutants",Cephalopods,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,6.461704973574616e-9
Environmental Management,Energy,Cephalopods,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,5.5451769945554494e-8
Environmental Management,Energy,Cephalopods,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,9.241961657592416e-9
Environmental Management,Physical change,Cephalopods,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,4.3603729761840723e-8
Environmental Management,Physical change,Cephalopods,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,7.267288293640121e-9
Environmental Management,Biological disturbance,Cephalopods,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,9.097696772269182e-10
Environmental Management,Biological disturbance,Cephalopods,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,6.252840020069137e-7
Environmental Management,"Chemical changes, chemicals and other pollutants",Cephalopods,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,1.5092869716447093e-7
Environmental Management,"Chemical changes, chemicals and other pollutants",Cephalopods,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,1.0373317790536884e-4
Environmental Management,Energy,Cephalopods,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,2.158682945025841e-7
Environmental Management,Energy,Cephalopods,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,1.4836611339302293e-4
Environmental Management,Physical change,Cephalopods,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,1.6974503765852703e-7
Environmental Management,Physical change,Cephalopods,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,1.1666563430808267e-4
Environmental Management,"Chemical changes, chemicals and other pollutants",Birds,Biomass,Provisioning,18,3.76564068366969e-12
Environmental Management,"Chemical changes, chemicals and other pollutants",Birds,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,4.556450400434882e-9
Environmental Management,Energy,Birds,Biomass,Provisioning,18,7.2256663104771574e-12
Environmental Management,Energy,Birds,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,8.743104539039025e-9
Environmental Management,Physical change,Birds,Biomass,Provisioning,18,1.0997655732466427e-11
Environmental Management,Physical change,Birds,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,1.3307236955281723e-8
Environmental Management,"Chemical changes, chemicals and other pollutants",Birds,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,2.0590462910492688e-8
Environmental Management,"Chemical changes, chemicals and other pollutants",Birds,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,3.7810164275798527e-10
Environmental Management,Energy,Birds,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,3.95098275878217e-8
Environmental Management,Energy,Birds,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,7.255169920646868e-10
